IP;Страна;Город;Провайдер;Координаты
123.231.78.45;Sri Lanka;Minuwangoda;Dialog Axiata Plc;"7.173100; 79.963700"
87.65.43.21;Belgium;Brussels;Proximus;"50.834400; 4.368000"
192.168.1.100;-;-;-;-
10.0.0.55;-;-;-;-
172.16.254.3;-;-;-;-
203.0.113.42;United States;New York;TEST-NET-3;"40.712700; -74.005900"
198.51.100.77;Romania;Bucharest;TEST-NET-2;"44.426700; 26.102500"
93.184.216.34;United States;Norwell;EDGECAST;"42.161800; -70.793900"
45.67.89.123;Bulgaria;Kyustendil;UltraNET Ltd;"42.287500; 22.695300"
139.59.176.25;United Kingdom;Slough;DIGITALOCEAN;"51.517700; -0.621500"
64.233.160.1;United States;Mountain View;Google LLC;"37.422000; -122.084000"
216.58.200.46;United States;Mountain View;Google LLC;"37.404300; -122.074800"
34.210.32.88;United States;Portland;Amazon.com, Inc.;"45.523500; -122.676000"
157.240.22.35;United States;Santa Clara;Facebook, Inc.;"37.353000; -121.954400"
77.88.55.70;Russia;Moscow;Yandex LLC;"55.734200; 37.585900"
185.60.216.53;Ireland;Dublin;Facebook, Inc.;"53.344000; -6.238880"
8.8.8.8;United States;Ashburn;Google LLC;"39.030000; -77.500000"
1.1.1.1;Australia;South Brisbane;Cloudflare, Inc;"-27.476600; 153.016600"
208.67.222.222;United States;San Francisco;Cisco OpenDNS, LLC;"37.764200; -122.399300"
91.198.174.192;The Netherlands;Amsterdam;Wikimedia Europe network;"52.367600; 4.904140"
162.158.0.1;Australia;Melbourne;Cloudflare, Inc.;"-37.813600; 144.963000"
104.16.85.20;Canada;Toronto;Cloudflare, Inc.;"43.653200; -79.383200"
151.101.1.69;United States;San Francisco;Fastly, Inc.;"37.764200; -122.399300"
74.125.24.100;United States;Mountain View;Google LLC;"37.422500; -122.085000"
31.13.65.36;United States;Lithia Springs;Facebook, Inc.;"33.794000; -84.660500"
52.206.191.232;United States;Ashburn;Amazon.com, Inc.;"39.043800; -77.487400"
35.186.238.101;United States;Kansas City;Google LLC;"39.099700; -94.578500"
13.107.21.200;Canada;Montreal;Microsoft Corporation;"45.501900; -73.567400"
69.172.200.153;Germany;Frankfurt am Main;Dosarrest Internet Security LTD;"50.110900; 8.682130"
185.199.108.154;United States;Hoover;Fastly, Inc.;"33.355500; -86.827400"
140.82.121.3;Germany;Frankfurt am Main;GitHub, Inc.;"50.116900; 8.683700"
199.232.38.132;United States;New York;Fastly, Inc.;"40.712600; -74.006600"
104.244.42.1;United States;San Francisco;Twitter Inc.;"37.776600; -122.417000"
45.33.20.235;United States;Richardson;Akamai Technologies, Inc.;"32.947300; -96.702800"
54.175.23.121;United States;Ashburn;Amazon.com, Inc.;"39.043800; -77.487400"
72.30.35.10;United States;Lockport;Oath Holdings Inc.;"43.172100; -78.691300"
98.137.246.8;United States;Quincy;Oath Holdings Inc.;"47.234300; -119.852500"
23.21.182.24;United States;Ashburn;Amazon.com;"39.043800; -77.487400"
50.63.202.22;United States;Tempe;GoDaddy.com, LLC;"33.335900; -111.894000"
68.180.194.72;United States;Quincy;Oath Holdings Inc.;"47.234300; -119.852500"
91.200.12.133;United Kingdom;London;I-servers LTD;"51.507200; -0.127586"
212.82.100.101;Ireland;Dublin;Yahoo-EU;"53.338200; -6.259100"
188.226.183.57;The Netherlands;Amsterdam;DigitalOcean, LLC;"52.352000; 4.939200"
94.23.75.21;Portugal;Lisbon;OVH ISP;"38.721900; -9.139800"
176.31.96.104;France;Roubaix;OVH SAS;"50.691600; 3.201510"
5.135.158.101;-;-;-;-
213.152.180.151;-;-;-;-
89.234.182.54;-;-;-;-
37.187.122.115;-;-;-;-
78.47.139.222;-;-;-;-
123.231.78.45;Sri Lanka;Minuwangoda;Dialog Axiata Plc;"7.173100; 79.963700"
87.65.43.21;Belgium;Brussels;Proximus;"50.834400; 4.368000"
192.168.1.100;-;-;-;-
10.0.0.55;-;-;-;-
172.16.254.3;-;-;-;-
203.0.113.42;United States;New York;TEST-NET-3;"40.712700; -74.005900"
198.51.100.77;Romania;Bucharest;TEST-NET-2;"44.426700; 26.102500"
93.184.216.34;United States;Norwell;EDGECAST;"42.161800; -70.793900"
45.67.89.123;Bulgaria;Kyustendil;UltraNET Ltd;"42.287500; 22.695300"
139.59.176.25;United Kingdom;Slough;DIGITALOCEAN;"51.517700; -0.621500"
64.233.160.1;United States;Mountain View;Google LLC;"37.422000; -122.084000"
216.58.200.46;United States;Mountain View;Google LLC;"37.404300; -122.074800"
34.210.32.88;United States;Portland;Amazon.com, Inc.;"45.523500; -122.676000"
157.240.22.35;United States;Santa Clara;Facebook, Inc.;"37.353000; -121.954400"
77.88.55.70;Russia;Moscow;Yandex LLC;"55.734200; 37.585900"
